time,open,high,low,close,volume
2022-01-02 00:00:00+00:00,46210.57,47943.77,46210.55,47704.35,179433.584
2022-01-03 00:00:00+00:00,47704.35,48000.0,46605.68,47280.0,184795.093
2022-01-04 00:00:00+00:00,47280.01,47575.22,45665.4,46445.81,244781.793
2022-01-05 00:00:00+00:00,46445.8,47524.36,45445.57,45833.42,292149.75
2022-01-06 00:00:00+00:00,45833.41,47075.29,42270.0,43421.69,485477.569
2022-01-07 00:00:00+00:00,43421.7,43766.0,42385.83,43080.01,299509.851
2022-01-08 00:00:00+00:00,43080.01,43135.0,40456.56,41553.86,473214.849
2022-01-09 00:00:00+00:00,41553.87,42335.0,40500.0,41688.05,283737.224
2022-01-10 00:00:00+00:00,41688.05,42773.85,41170.0,41851.22,223134.952
2022-01-11 00:00:00+00:00,41851.22,42219.84,39610.0,41801.55,453644.116
2022-01-12 00:00:00+00:00,41801.55,43118.0,41255.0,42700.68,323760.691
2022-01-13 00:00:00+00:00,42700.69,44300.0,42415.0,43880.72,281339.294
2022-01-14 00:00:00+00:00,43880.72,44396.68,42301.16,42534.32,289289.18
2022-01-15 00:00:00+00:00,42538.72,43450.0,41666.0,43042.4,272517.077
2022-01-16 00:00:00+00:00,43042.4,43800.0,42530.64,43070.51,184649.157
2022-01-17 00:00:00+00:00,43070.51,43464.71,42531.69,43060.66,177450.475
2022-01-18 00:00:00+00:00,43060.66,43159.32,41523.68,42176.34,232748.345
2022-01-19 00:00:00+00:00,42176.34,42680.0,41260.0,42337.58,267472.465
2022-01-20 00:00:00+00:00,42337.58,42545.0,41115.64,41657.89,333952.095
2022-01-21 00:00:00+00:00,41656.9,43495.0,40550.0,40661.69,399818.052
2022-01-22 00:00:00+00:00,40662.06,41095.76,35380.92,36425.98,790320.909
2022-01-23 00:00:00+00:00,36426.46,36817.74,33950.0,35043.73,676272.904
2022-01-24 00:00:00+00:00,35043.73,36496.92,34588.8,36230.01,369372.903
2022-01-25 00:00:00+00:00,36230.0,37528.0,32853.83,36648.31,823000.702
2022-01-26 00:00:00+00:00,36648.3,37561.03,35693.0,36934.26,409535.517
2022-01-27 00:00:00+00:00,36934.26,38886.58,36232.42,36787.43,554457.384
2022-01-28 00:00:00+00:00,36787.42,37200.0,35471.53,37131.0,422006.922
2022-01-29 00:00:00+00:00,37131.0,38000.0,36149.02,37696.21,367509.143
2022-01-30 00:00:00+00:00,37696.22,38750.94,37252.0,38150.01,238657.764
2022-01-31 00:00:00+00:00,38150.0,38420.3,37716.38,38100.0,75178.784
