time,type,price,quantity,av_price,position,pnl,balance,drawdown
2021-02-28 00:00:00+00:00,SELL,46102.63,-0.00,46102.63,-0.00,-,1000.00,0.00
2021-03-01 00:00:00+00:00,BUY,46610.00,0.00,46102.63,0.00,-0.49,999.51,0.05
2021-03-10 00:00:00+00:00,BUY,54917.78,0.00,54917.78,0.00,-,999.51,0.05
2021-03-11 00:00:00+00:00,SELL,54369.00,-0.00,54917.78,0.00,-0.53,998.98,0.10
2021-03-25 00:00:00+00:00,SELL,52311.54,-0.00,52311.54,-0.00,-,998.98,0.10
2021-03-26 00:00:00+00:00,BUY,52887.00,0.00,52311.54,0.00,-0.55,998.43,0.16
2021-04-01 00:00:00+00:00,BUY,58807.24,0.00,58807.24,0.00,-,998.43,0.16
2021-04-02 00:00:00+00:00,SELL,58219.00,-0.00,58807.24,0.00,-0.56,997.86,0.21
2021-04-21 00:00:00+00:00,SELL,56410.56,-0.00,56410.56,-0.00,-,997.86,0.21
2021-04-22 00:00:00+00:00,BUY,55705.00,0.00,56410.56,0.00,0.68,998.55,0.15
2021-05-03 00:00:00+00:00,BUY,56630.33,0.00,56630.33,0.00,-,998.55,0.15
2021-05-04 00:00:00+00:00,SELL,57338.00,-0.00,56630.33,0.00,0.69,999.23,0.08
2021-05-14 00:00:00+00:00,SELL,49707.90,-0.00,49707.90,-0.00,-,999.23,0.08
2021-05-15 00:00:00+00:00,BUY,50255.00,0.00,49707.90,0.00,-0.53,998.71,0.13
2021-06-14 00:00:00+00:00,BUY,38993.65,0.00,38993.65,0.00,-,998.71,0.13
2021-06-15 00:00:00+00:00,SELL,39481.00,-0.00,38993.65,0.00,0.47,999.18,0.08
2021-06-22 00:00:00+00:00,SELL,31606.00,-0.00,31606.00,-0.00,-,999.18,0.08
2021-06-23 00:00:00+00:00,BUY,31954.00,0.00,31606.00,0.00,-0.67,998.51,0.15
2021-07-04 00:00:00+00:00,BUY,34652.94,0.00,34652.94,0.00,-,998.51,0.15
2021-07-05 00:00:00+00:00,SELL,35086.00,-0.00,34652.94,0.00,0.42,998.93,0.11
2021-07-11 00:00:00+00:00,SELL,33497.98,-0.00,33497.98,-0.00,-,998.93,0.11
2021-07-12 00:00:00+00:00,BUY,33866.00,0.00,33497.98,0.00,-0.35,998.57,0.14
2021-07-26 00:00:00+00:00,BUY,35370.66,0.00,35370.66,0.00,-,998.57,0.14
2021-07-27 00:00:00+00:00,SELL,35813.00,-0.00,35370.66,0.00,0.43,999.00,0.10
2021-09-11 00:00:00+00:00,SELL,44860.83,-0.00,44860.83,-0.00,-,999.00,0.10
2021-09-12 00:00:00+00:00,BUY,45354.00,0.00,44860.83,0.00,-0.48,998.52,0.15
2021-10-04 00:00:00+00:00,BUY,48187.30,0.00,48187.30,0.00,-,998.52,0.15
2021-10-05 00:00:00+00:00,SELL,47705.00,-0.00,48187.30,0.00,-0.46,998.06,0.19
2021-10-30 00:00:00+00:00,SELL,62308.22,-0.00,62308.22,-0.00,-,998.06,0.19
2021-10-31 00:00:00+00:00,BUY,61529.00,0.00,62308.22,0.00,0.75,998.82,0.12
2021-11-04 00:00:00+00:00,BUY,62946.45,0.00,62946.45,0.00,-,998.82,0.12
2021-11-05 00:00:00+00:00,SELL,62317.00,-0.00,62946.45,0.00,-0.60,998.21,0.18
2021-11-06 00:00:00+00:00,SELL,61006.00,-0.00,61006.00,-0.00,-,998.21,0.18
2021-11-07 00:00:00+00:00,BUY,60243.00,0.00,61006.00,0.00,0.74,998.95,0.11
2021-11-07 00:00:00+00:00,BUY,61511.30,0.00,61511.30,0.00,-,998.95,0.11
2021-11-08 00:00:00+00:00,SELL,62280.00,-0.00,61511.30,0.00,0.74,999.69,0.03
2021-11-18 00:00:00+00:00,SELL,60366.96,-0.00,60366.96,-0.00,-,999.69,0.03
2021-11-19 00:00:00+00:00,BUY,59612.00,0.00,60366.96,0.00,0.73,1000.43,0.00
2021-12-25 00:00:00+00:00,BUY,50808.55,0.00,50808.55,0.00,-,1000.43,0.00
2021-12-26 00:00:00+00:00,SELL,50300.00,-0.00,50808.55,0.00,-0.49,999.94,0.05
2022-01-01 00:00:00+00:00,SELL,46210.56,-0.00,46210.56,-0.00,-,999.94,0.05
2022-01-02 00:00:00+00:00,BUY,46719.00,0.00,46210.56,0.00,-0.49,999.45,0.10
